Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	pLI	DSI_g	DPI_g	N_diseases	N_SNPs
SORCS3	22986	Q9UPU3	sortilin related VPS10 domain containing receptor 3	Transporter	3.7354e-05	0.76	0.231	22	24
SV2C	22987	Q496J9	synaptic vesicle glycoprotein 2C		2.4354e-05	0.821	0.192	15	9
MYH15	22989	Q9Y2K3	myosin heavy chain 15		4.5499e-59	0.821	0.308	11	10
PCNX1	22990	Q96RV3	pecanex 1		1.0	0.792	0.115	12	5
KDM2A	22992	Q9Y2K7	lysine demethylase 2A		1.0	0.636	0.423	53	5
HMGXB3	22993	Q12766	HMG-box containing 3		0.999	0.821	0.115	9	1
CEP131	22994	Q9UPN4	centrosomal protein 131		7.3631e-16	0.76	0.385	16	6
CEP152	22995	O94986	centrosomal protein 152	Signaling	2.6574e-27	0.653	0.5	66	32
TTC39A	22996	Q5SRH9	tetratricopeptide repeat domain 39A		0.0006305	0.931	0.115	5	2
IGSF9B	22997	Q9UPX0	immunoglobulin superfamily member 9B		0.86551	0.821	0.192	14	9
LIMCH1	22998	Q9UPQ0	LIM and calponin homology domains 1	Cellular structure	0.94734	0.792	0.154	22	3
RIMS1	22999	Q86UR5	regulating synaptic membrane exocytosis 1	Enzyme modulator	0.9902	0.7	0.231	32	5
WDFY3	23001	Q8IZQ1	WD repeat and FYVE domain containing 3		1.0	0.711	0.423	22	2
DAAM1	23002	Q9Y4D1	dishevelled associated activator of morphogenesis 1		0.99918	0.682	0.423	29	3
MAPKBP1	23005	O60336	mitogen-activated protein kinase binding protein 1		0.00021011	0.805	0.231	15	13
PLCH1	23007	Q4KWH8	phospholipase C eta 1	Enzyme	0.39649	0.736	0.154	17	4
KLHDC10	23008	Q6PID8	kelch domain containing 10		0.92564	0.861	0.077	5	0
RAB21	23011	Q9UL25	RAB21, member RAS oncogene family		0.1111	0.792	0.269	15	1
STK38L	23012	Q9Y2H1	serine/threonine kinase 38 like	Kinase	0.93427	0.821	0.154	12	3
SPEN	23013	Q96T58	spen family transcriptional repressor		1.0	0.644	0.654	49	0
FBXO21	23014	O94952	F-box protein 21		0.97537	1.0	0.038	5	18
GOLGA8A	23015	A7E2F4	golgin A8 family member A	Transporter	0.00039454	0.931	0.038	2	0
EXOSC7	23016	Q15024	exosome component 7	Enzyme	1.0442e-05	1.0	0.115	3	3
FAIM2	23017	Q9BWQ8	Fas apoptotic inhibitory molecule 2		8.7012e-05	0.663	0.5	48	4
CNOT1	23019	A5YKK6	CCR4-NOT transcription complex subunit 1	Transcription factor	1.0	0.674	0.577	42	9
SNRNP200	23020	O75643	small nuclear ribonucleoprotein U5 subunit 200		1.0	0.695	0.5	44	11
PALLD	23022	Q8WX93	palladin, cytoskeletal associated protein		5.2547e-06	0.628	0.615	69	20
TMCC1	23023	O94876	transmembrane and coiled-coil domain family 1		0.84526	1.0	0.077	2	1
PDZRN3	23024	Q9UPQ7	PDZ domain containing ring finger 3		0.98471	0.792	0.269	11	14
UNC13A	23025	Q9UPW8	unc-13 homolog A		1.0	0.705	0.423	41	3
MYO16	23026	Q9Y6X6	myosin XVI		0.99851	0.722	0.308	33	17
KDM1A	23028	O60341	lysine demethylase 1A	Epigenetic regulator	0.99667	0.512	0.808	185	5
KDM4B	23030	O94953	lysine demethylase 4B	Epigenetic regulator	1.0	0.606	0.462	71	8
MAST3	23031	O60307	microtubule associated serine/threonine kinase 3	Kinase	0.99991	0.931	0.154	10	9
USP33	23032	Q8TEY7	ubiquitin specific peptidase 33	Enzyme	0.86249	0.729	0.308	20	0
DOP1A	23033	Q5JWR5	DOP1 leucine zipper like protein A		0.99993	0.861	0.115	7	4
SAMD4A	23034	Q9UPU9	sterile alpha motif domain containing 4A		0.99958	0.78	0.308	28	9
PHLPP2	23035	Q6ZVD8	PH domain and leucine rich repeat protein phosphatase 2		1.2128e-06	0.641	0.346	45	37
ZNF292	23036	O60281	zinc finger protein 292	Enzyme	1.0	0.695	0.423	53	4
PDZD2	23037	O15018	PDZ domain containing 2	Signaling	0.99694	0.666	0.538	37	17
WDTC1	23038	Q8N5D0	WD and tetratricopeptide repeats 1	Enzyme modulator	0.99915	0.691	0.5	28	3
XPO7	23039	Q9UIA9	exportin 7	Transporter	1.0	0.931	0.077	8	9
MYT1L	23040	Q9UL68	myelin transcription factor 1 like	Transcription factor	1.0	0.659	0.462	46	18
MON2	23041	Q7Z3U7	MON2 homolog, regulator of endosome-to-Golgi trafficking		0.59388	0.751	0.308	15	0
PDXDC1	23042	Q6P996	pyridoxal dependent decarboxylase domain containing 1		3.4641e-12	0.78	0.154	24	26
TNIK	23043	Q9UKE5	TRAF2 and NCK interacting kinase	Kinase	1.0	0.612	0.615	83	11
KIF21B	23046	O75037	kinesin family member 21B	Cellular structure	1.7695e-06	0.805	0.192	10	5
PDS5B	23047	Q9NTI5	PDS5 cohesin associated factor B	Nucleic acid binding	1.0	0.716	0.462	26	8
FNBP1	23048	Q96RU3	formin binding protein 1		0.82844	0.736	0.269	17	1
SMG1	23049	Q96Q15	SMG1 nonsense mediated mRNA decay associated PI3K related kinase	Kinase	1.0	0.575	0.808	90	4
ZHX3	23051	Q9H4I2	zinc fingers and homeoboxes 3	Transcription factor	0.050815	0.792	0.346	17	10
ENDOD1	23052	O94919	endonuclease domain containing 1		6.5757e-11	0.839	0.192	10	1
NCOA6	23054	Q14686	nuclear receptor coactivator 6	Nucleic acid binding	0.99913	0.647	0.731	64	36
NMNAT2	23057	Q9BZQ4	nicotinamide nucleotide adenylyltransferase 2	Enzyme	0.98853	0.67	0.5	46	9
CLUAP1	23059	Q96AJ1	clusterin associated protein 1		0.0004184	0.805	0.231	18	5
ZNF609	23060	O15014	zinc finger protein 609		1.0	0.751	0.346	18	2
TBC1D9B	23061	Q66K14	TBC1 domain family member 9B	Enzyme	5.0231e-12	1.0	0.077	2	1
GGA2	23062	Q9UJY4	golgi associated, gamma adaptin ear containing, ARF binding protein 2		1.2573e-07	0.861	0.154	7	0
WAPL	23063	Q7Z5K2	WAPL cohesin release factor		1.0	0.931	0.115	8	6
SETX	23064	Q7Z333	senataxin	Enzyme	0.95483	0.57	0.731	133	39
EMC1	23065	Q8N766	ER membrane protein complex subunit 1		6.7281e-26	0.7	0.462	38	5
CAND2	23066	O75155	cullin associated and neddylation dissociated 2 (putative)	Transcription factor	4.326e-16	0.792	0.423	16	4
SETD1B	23067	Q9UPS6	SET domain containing 1B, histone lysine methyltransferase		1.0	0.722	0.423	33	2
CMTR1	23070	Q8N1G2	cap methyltransferase 1		0.99252	0.861	0.115	5	0
ERP44	23071	Q9BS26	endoplasmic reticulum protein 44		0.99106	0.736	0.346	15	1
HECW1	23072	Q76N89	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	Enzyme	0.99982	0.792	0.346	13	12
UHRF1BP1L	23074	A0JNW5	UHRF1 binding protein 1 like		0.0042502	0.821	0.154	6	0
SWAP70	23075	Q9UH65	switching B cell complex subunit SWAP70	Nucleic acid binding	0.049628	0.736	0.385	31	13
RRP1B	23076	Q14684	ribosomal RNA processing 1B		3.0653e-09	0.792	0.231	17	5
MYCBP2	23077	O75592	MYC binding protein 2		1.0	0.716	0.308	19	1
VWA8	23078	A3KMH1	von Willebrand factor A domain containing 8		8.4114e-70	0.769	0.231	12	4
AVL9	23080	Q8NBF6	AVL9 cell migration associated		0.0026324	0.792	0.231	11	3
KDM4C	23081	Q9H3R0	lysine demethylase 4C		6.5189e-07	0.601	0.615	71	12
PPRC1	23082	Q5VV67	PPARG related coactivator 1	Transcription factor	1.0	0.656	0.538	41	4
ERC1	23085	Q8IUD2	ELKS/RAB6-interacting/CAST family member 1	Enzyme modulator	1.0574e-07	0.78	0.385	15	10
EXPH5	23086	Q8NEV8	exophilin 5		4.1598e-26	0.792	0.154	14	3
TRIM35	23087	Q9UPQ4	tripartite motif containing 35		0.00087781	0.89	0.115	6	0
PEG10	23089	Q86TG7	paternally expressed 10		0.87274	0.597	0.615	75	1
ZNF423	23090	Q2M1K9	zinc finger protein 423		0.99996	0.592	0.808	97	16
ZC3H13	23091	Q5T200	zinc finger CCCH-type containing 13		1.0	0.839	0.115	11	2
ARHGAP26	23092	Q9UNA1	Rho GTPase activating protein 26	Enzyme modulator	0.99661	0.656	0.5	47	8
TTLL5	23093	Q6EMB2	tubulin tyrosine ligase like 5	Enzyme	2.9217e-22	0.686	0.5	34	24
SIPA1L3	23094	O60292	signal induced proliferation associated 1 like 3	Enzyme modulator	1.0	0.76	0.269	18	10
KIF1B	23095	O60333	kinesin family member 1B	Cellular structure	1.0	0.516	0.808	213	16
IQSEC2	23096	Q5JU85	IQ motif and Sec7 domain ArfGEF 2		0.99998	0.573	0.577	155	33
CDK19	23097	Q9BWU1	cyclin dependent kinase 19	Kinase	0.99982	0.691	0.462	34	1
SARM1	23098	Q6SZW1	sterile alpha and TIR motif containing 1		1.7007e-10	0.682	0.346	40	19
MCF2L2	23101	Q86YR7	MCF.2 cell line derived transforming sequence-like 2	Signaling	1.1565e-24	0.628	0.577	60	5
TBC1D2B	23102	Q9UPU7	TBC1 domain family member 2B	Enzyme	1.438e-08	0.931	0.115	4	1
FSTL4	23105	Q6MZW2	follistatin like 4	Enzyme modulator	0.017889	0.89	0.154	6	9
MRPS27	23107	Q92552	mitochondrial ribosomal protein S27	Nucleic acid binding	1.9215e-06	1.0	0.038	1	3
RAP1GAP2	23108	Q684P5	RAP1 GTPase activating protein 2	Enzyme modulator	0.96928	1.0	0.038	1	10
DDN	23109	O94850	dendrin		0.359	0.805	0.231	13	2
SPART	23111	Q8N0X7	spartin		2.967e-07	0.588	0.654	110	6
TNRC6B	23112	Q9UPQ9	trinucleotide repeat containing adaptor 6B		1.0	0.751	0.462	25	24
CUL9	23113	Q8IWT3	cullin 9		0.99191	0.659	0.654	39	3
NFASC	23114	O94856	neurofascin		0.99999	0.682	0.423	62	7
TOGARAM1	23116	Q9Y4F4	TOG array regulator of axonemal microtubules 1	Cellular structure	1.333e-08	0.931	0.115	6	2
NPIPB3	23117	Q92617	nuclear pore complex interacting protein family member B3		0.0023295	0.89	0.269	3	0
TAB2	23118	Q9NYJ8	TGF-beta activated kinase 1 (MAP3K7) binding protein 2		0.99998	0.617	0.654	72	14
HIC2	23119	Q96JB3	HIC ZBTB transcriptional repressor 2		0.99668	0.861	0.308	6	0
CLASP2	23122	O75122	cytoplasmic linker associated protein 2	Cellular structure	1.0	0.792	0.269	12	1
CAMTA2	23125	O94983	calmodulin binding transcription activator 2	Transcription factor	0.99918	0.89	0.154	7	3
POGZ	23126	Q7Z3K3	pogo transposable element derived with ZNF domain	Transcription factor	1.0	0.599	0.577	117	68
COLGALT2	23127	Q8IYK4	collagen beta(1-O)galactosyltransferase 2	Enzyme	1.0935e-10	0.805	0.269	10	5
PLXND1	23129	Q9Y4D7	plexin D1		1.0	0.647	0.577	73	4
ATG2A	23130	Q2TAZ0	autophagy related 2A		0.053526	1.0	0.077	2	1
GPATCH8	23131	Q9UKJ3	G-patch domain containing 8		1.0	0.931	0.154	2	1
RAD54L2	23132	Q9Y4B4	RAD54 like 2		1.0			1	1
PHF8	23133	Q9UPP1	PHD finger protein 8		0.99785	0.631	0.577	75	8
KDM6B	23135	O15054	lysine demethylase 6B	Epigenetic regulator	1.0	0.514	0.808	173	5
EPB41L3	23136	Q9Y2J2	erythrocyte membrane protein band 4.1 like 3		4.3188e-05	0.619	0.615	63	5
SMC5	23137	Q8IY18	structural maintenance of chromosomes 5		3.1326e-06	0.792	0.231	12	0
MAST2	23139	Q6P0Q8	microtubule associated serine/threonine kinase 2	Kinase	1.7079e-19	0.76	0.192	22	8
ZZEF1	23140	O43149	zinc finger ZZ-type and EF-hand domain containing 1	Transcription factor	0.83468	1.0	0.077	6	10
ANKLE2	23141	Q86XL3	ankyrin repeat and LEM domain containing 2		1.0099e-10	0.691	0.5	42	6
DCUN1D4	23142	Q92564	defective in cullin neddylation 1 domain containing 4		0.047486	1.0	0.077	1	1
LRCH1	23143	Q9Y2L9	leucine rich repeats and calponin homology domain containing 1		0.99552	0.769	0.269	19	12
ZC3H3	23144	Q8IXZ2	zinc finger CCCH-type containing 3		0.46998	1.0	0.077	2	3
SSPO	23145	A2VEC9	SCO-spondin	Enzyme modulator		0.805	0.154	9	0
FCHO1	23149	O14526	FCH and mu domain containing endocytic adaptor 1		0.99845			1	2
FRMD4B	23150	Q9Y2L6	FERM domain containing 4B		0.4539	0.805	0.308	12	6
GRAMD4	23151	Q6IC98	GRAM domain containing 4		0.99998	0.861	0.154	4	2
CIC	23152	Q96RK0	capicua transcriptional repressor		0.99999	0.523	0.692	141	10
NCDN	23154	Q9UBB6	neurochondrin		0.99964	0.89	0.231	8	2
CLCC1	23155	Q96S66	chloride channel CLIC like 1	Ion channel	0.0062025	1.0	0.077	1	1
SEPTIN6	23157	Q14141	septin 6	Enzyme modulator	0.93177	0.644	0.385	41	0
TBC1D9	23158	Q6ZT07	TBC1 domain family member 9	Enzyme	2.8039e-05	0.399	0.846	491	11
WDR43	23160	Q15061	WD repeat domain 43		0.99997	0.89	0.192	3	1
SNX13	23161	Q9Y5W8	sorting nexin 13	Enzyme modulator	0.40328			4	6
MAPK8IP3	23162	Q9UPT6	mitogen-activated protein kinase 8 interacting protein 3	Enzyme modulator	1.0	0.682	0.462	62	2
GGA3	23163	Q9NZ52	golgi associated, gamma adaptin ear containing, ARF binding protein 3		1.6701e-06	0.821	0.346	8	7
MPRIP	23164	Q6WCQ1	myosin phosphatase Rho interacting protein	Enzyme modulator	0.98078	0.556	0.885	113	56
NUP205	23165	Q92621	nucleoporin 205		1.0	0.736	0.308	20	7
STAB1	23166	Q9NY15	stabilin 1		8.6792e-50	0.619	0.692	69	7
RTF1	23168	Q92541	RTF1 homolog, Paf1/RNA polymerase II complex component		1.0	0.931	0.154	3	3
SLC35D1	23169	Q9NTN3	solute carrier family 35 member D1	Transporter	0.00035546	0.736	0.385	44	8
TTLL12	23170	Q14166	tubulin tyrosine ligase like 12		2.2425e-15	0.805	0.231	9	1
GPD1L	23171	Q8N335	glycerol-3-phosphate dehydrogenase 1 like	Enzyme	0.038201	0.674	0.308	35	5
ABRAXAS2	23172	Q15018	abraxas 2, BRISC complex subunit		0.020167	0.76	0.308	14	0
METAP1	23173	P53582	methionyl aminopeptidase 1	Enzyme	0.10521	0.861	0.154	6	0
ZCCHC14	23174	Q8WYQ9	zinc finger CCHC-type containing 14		0.97852	0.769	0.462	13	5
LPIN1	23175	Q14693	lipin 1		6.4522e-13	0.601	0.692	86	12
SEPTIN8	23176	Q92599	septin 8	Enzyme modulator	0.084191	0.861	0.192	7	4
CEP68	23177	Q76N32	centrosomal protein 68		0.51822	0.839	0.269	13	6
PASK	23178	Q96RG2	PAS domain containing serine/threonine kinase	Kinase	1.952e-21	0.792	0.308	12	4
RGL1	23179	Q9NZL6	ral guanine nucleotide dissociation stimulator like 1	Enzyme modulator	0.95608	0.839	0.115	10	5
RFTN1	23180	Q14699	raftlin, lipid raft linker 1		2.4248e-06	0.861	0.077	5	1
DIP2A	23181	Q14689	disco interacting protein 2 homolog A		0.11301	0.76	0.231	18	4
MESD	23184	Q14696	mesoderm development LRP chaperone		0.62773	0.805	0.192	9	0
LARP4B	23185	Q92615	La ribonucleoprotein 4B	Nucleic acid binding	0.99998	0.76	0.154	22	7
RCOR1	23186	Q9UKL0	REST corepressor 1		0.99992	0.678	0.577	36	6
PHLDB1	23187	Q86UU1	pleckstrin homology like domain family B member 1		0.10667	0.722	0.423	20	11
KANK1	23189	Q14678	KN motif and ankyrin repeat domains 1		7.9821e-18	0.641	0.538	56	14
UBXN4	23190	Q92575	UBX domain protein 4		0.14569	0.931	0.115	4	2
CYFIP1	23191	Q7L576	cytoplasmic FMR1 interacting protein 1	Enzyme modulator	0.96816	0.674	0.538	40	4
ATG4B	23192	Q9Y4P1	autophagy related 4B cysteine peptidase	Enzyme	0.95648	0.644	0.538	49	1
GANAB	23193	Q14697	glucosidase II alpha subunit	Enzyme	0.99873	0.716	0.423	26	17
FBXL7	23194	Q9UJT9	F-box and leucine rich repeat protein 7		0.31497	0.769	0.346	15	9
MDN1	23195	Q9NU22	midasin AAA ATPase 1		2.1582e-08	0.931	0.115	3	1
FAM120A	23196	Q9NZB2	family with sequence similarity 120A		1.0	0.931	0.077	4	5
FAF2	23197	Q96CS3	Fas associated factor family member 2		0.99911	0.861	0.231	5	0
PSME4	23198	Q14997	proteasome activator subunit 4		1.0	0.931	0.115	6	1
GSE1	23199	Q14687	Gse1 coiled-coil protein		1.0	0.78	0.231	20	21
ATP11B	23200	Q9Y2G3	ATPase phospholipid transporting 11B (putative)	Transporter	0.0020092	0.89	0.115	9	2
FAM168A	23201	Q92567	family with sequence similarity 168 member A		0.98674	0.729	0.269	23	3
PMPCA	23203	Q10713	peptidase, mitochondrial processing subunit alpha	Enzyme	3.437e-11	0.633	0.577	83	13
ARL6IP1	23204	Q15041	ADP ribosylation factor like GTPase 6 interacting protein 1		0.022339	0.653	0.577	48	1
ACSBG1	23205	Q96GR2	acyl-CoA synthetase bubblegum family member 1	Enzyme	3.959e-05	0.603	0.654	73	6
PLEKHM2	23207	Q8IWE5	pleckstrin homology and RUN domain containing M2		1.7077e-05	0.7	0.462	24	0
SYT11	23208	Q9BT88	synaptotagmin 11	Transporter	0.92676	0.861	0.192	4	0
MLC1	23209	Q15049	modulator of VRAC current 1	Ion channel	3.2425e-08	0.585	0.769	87	45
JMJD6	23210	Q6NYC1	jumonji domain containing 6, arginine demethylase and lysine hydroxylase	Receptor	0.93353	0.615	0.654	73	2
ZC3H4	23211	Q9UPT8	zinc finger CCCH-type containing 4		1.0	1.0	0.077	21	8
RRS1	23212	Q15050	ribosome biogenesis regulator 1 homolog	Nucleic acid binding	0.17712	0.656	0.5	42	0
SULF1	23213	Q8IWU6	sulfatase 1	Enzyme	0.0013751	0.585	0.538	83	3
XPO6	23214	Q96QU8	exportin 6		1.0	0.861	0.154	12	1
PRRC2C	23215	Q9Y520	proline rich coiled-coil 2C	Enzyme	1.0	0.839	0.192	12	4
TBC1D1	23216	Q86TI0	TBC1 domain family member 1	Enzyme	1.8584e-13	0.716	0.423	25	7
ZFR2	23217	Q9UPR6	zinc finger RNA binding protein 2	Nucleic acid binding	9.7623e-26	1.0	0.077	3	2
NBEAL2	23218	Q6ZNJ1	neurobeachin like 2		0.059764	0.617	0.769	78	13
FBXO28	23219	Q9NVF7	F-box protein 28		0.98681	0.78	0.231	14	0
DTX4	23220	Q9Y2E6	deltex E3 ubiquitin ligase 4	Enzyme	0.21699	0.861	0.269	4	0
RHOBTB2	23221	Q9BYZ6	Rho related BTB domain containing 2	Enzyme modulator	0.013306	0.631	0.615	76	9
RRP12	23223	Q5JTH9	ribosomal RNA processing 12 homolog		5.7892e-11	0.89	0.038	5	1
SYNE2	23224	Q8WXH0	spectrin repeat containing nuclear envelope protein 2		1.6503e-25	0.623	0.692	91	23
NUP210	23225	Q8TEM1	nucleoporin 210	Transporter	1.0967e-22	0.76	0.308	14	6
PLCL2	23228	Q9UPR0	phospholipase C like 2	Enzyme	0.99999	0.743	0.308	30	30
ARHGEF9	23229	O43307	Cdc42 guanine nucleotide exchange factor 9	Enzyme modulator	0.9989	0.691	0.385	38	11
VPS13A	23230	Q96RL7	vacuolar protein sorting 13 homolog A		9.3125e-22	0.65	0.577	104	9
TBC1D12	23232	O60347	TBC1 domain family member 12	Enzyme	1.715e-05			4	4
EXOC6B	23233	Q9Y2D4	exocyst complex component 6B	Transporter	0.11692	0.682	0.577	63	5
DNAJC9	23234	Q8WXX5	DnaJ heat shock protein family (Hsp40) member C9		0.0045264	1.0	0.077	2	0
SIK2	23235	Q9H0K1	salt inducible kinase 2	Kinase	0.99651	0.674	0.577	38	7
PLCB1	23236	Q9NQ66	phospholipase C beta 1	Enzyme	0.98337	0.595	0.654	107	35
ARC	23237	Q7LC44	activity regulated cytoskeleton associated protein		0.59433	0.573	0.769	101	1
PHLPP1	23239	O60346	PH domain and leucine rich repeat protein phosphatase 1	Epigenetic regulator	0.99927	0.597	0.654	73	1
TMEM131L	23240	A2VDJ0	transmembrane 131 like		0.95975	0.839	0.192	9	5
PACS2	23241	Q86VP3	phosphofurin acidic cluster sorting protein 2		0.99583	0.7	0.423	41	1
COBL	23242	O75128	cordon-bleu WH2 repeat protein		0.0039121	0.78	0.269	11	1
ANKRD28	23243	O15084	ankyrin repeat domain 28		1.0	0.861	0.115	10	5
PDS5A	23244	Q29RF7	PDS5 cohesin associated factor A	Nucleic acid binding	1.0	0.792	0.346	16	6
ASTN2	23245	O75129	astrotactin 2		0.99971	0.666	0.462	51	41
BOP1	23246	Q14137	BOP1 ribosomal biogenesis factor	Nucleic acid binding	0.092793	0.821	0.192	12	2
KIAA0556	23247	O60303	KIAA0556		1.1859e-29	0.644	0.538	60	4
RPRD2	23248	Q5VT52	regulation of nuclear pre-mRNA domain containing 2	Enzyme modulator	1.0	0.861	0.154	8	5
ATP11A	23250	P98196	ATPase phospholipid transporting 11A	Transporter	4.0487e-06	0.682	0.462	42	9
MINAR1	23251	Q9UPX6	membrane integral NOTCH2 associated receptor 1		1.9551e-05	0.89	0.077	3	14
OTUD3	23252	Q5T2D3	OTU deubiquitinase 3	Enzyme	3.5645e-05	0.76	0.231	13	2
ANKRD12	23253	Q6UB98	ankyrin repeat domain 12		1.0	0.792	0.154	10	1
KAZN	23254	Q674X7	kazrin, periplakin interacting protein		0.59671	0.792	0.192	16	7
MTCL1	23255	Q9Y4B5	microtubule crosslinking factor 1		8.834e-05	0.839	0.192	11	2
SCFD1	23256	Q8WVM8	sec1 family domain containing 1	Transporter	0.99962	0.839	0.192	9	2
DENND5A	23258	Q6IQ26	DENN domain containing 5A		0.057546	0.821	0.115	20	6
DDHD2	23259	O94830	DDHD domain containing 2	Enzyme	1.4321e-10	0.695	0.577	37	11
CAMTA1	23261	Q9Y6Y1	calmodulin binding transcription activator 1	Transcription factor	1.0	0.599	0.615	112	24
PPIP5K2	23262	O43314	diphosphoinositol pentakisphosphate kinase 2		8.5759e-21	0.89	0.154	4	2
MCF2L	23263	O15068	MCF.2 cell line derived transforming sequence like	Signaling	2.7178e-07	0.559	0.769	124	23
ZC3H7B	23264	Q9UGR2	zinc finger CCCH-type containing 7B	Nucleic acid binding	0.92932	0.805	0.192	15	7
EXOC7	23265	Q9UPT5	exocyst complex component 7	Transporter	3.2288e-07	0.839	0.154	13	1
ADGRL2	23266	O95490	adhesion G protein-coupled receptor L2	G-protein coupled receptor	1.0	0.682	0.385	33	7
DNMBP	23268	Q6XZF7	dynamin binding protein		5.7164e-17	0.743	0.423	13	3
MGA	23269	Q8IWI9	MAX dimerization protein MGA	Transcription factor	1.0	0.711	0.423	30	3
TSPYL4	23270	Q9UJ04	TSPY like 4	Enzyme modulator	1.2306e-05	0.861	0.115	4	0
CAMSAP2	23271	Q08AD1	calmodulin regulated spectrin associated protein family member 2		0.99999	0.792	0.231	8	2
TASOR	23272	Q9UK61	transcription activation suppressor		0.99954	1.0	0.038	8	5
CLEC16A	23274	Q2KHT3	C-type lectin domain containing 16A		0.27595	0.612	0.654	67	62
POFUT2	23275	Q9Y2G5	protein O-fucosyltransferase 2	Enzyme	0.00021557	0.839	0.346	6	0
CLUH	23277	O75153	clustered mitochondria homolog	Nucleic acid binding	0.99474	0.861	0.115	7	2
NUP160	23279	Q12769	nucleoporin 160	Transporter	6.7751e-06	0.751	0.346	17	5
MTUS2	23281	Q5JR59	microtubule associated scaffold protein 2		0.79549	0.839	0.154	5	1
CSTF2T	23283	Q9H0L4	cleavage stimulation factor subunit 2 tau variant	Nucleic acid binding	0.086385			1	0
ADGRL3	23284	Q9HAR2	adhesion G protein-coupled receptor L3	G-protein coupled receptor	1.0	0.729	0.385	25	12
WWC1	23286	Q8IX03	WW and C2 domain containing 1		0.00039438	0.61	0.692	71	13
AGTPBP1	23287	Q9UPW5	ATP/GTP binding protein 1	Enzyme	0.42151	0.65	0.538	63	10
IQCE	23288	Q6IPM2	IQ motif containing E		1.3752e-39	0.805	0.115	10	4
FBXW11	23291	Q9UKB1	F-box and WD repeat domain containing 11		0.97611	0.626	0.462	56	2
SMG6	23293	Q86US8	SMG6 nonsense mediated mRNA decay factor		0.98164	0.751	0.308	31	37
ANKS1A	23294	Q92625	ankyrin repeat and sterile alpha motif domain containing 1A	Receptor	0.80916	0.805	0.192	14	8
MGRN1	23295	O60291	mahogunin ring finger 1	Enzyme	0.10393	0.839	0.192	8	1
BICD2	23299	Q8TD16	BICD cargo adaptor 2		0.98272	0.615	0.731	97	9
ATMIN	23300	O43313	ATM interactor		5.031e-05	0.751	0.346	17	2
EHBP1	23301	Q8NDI1	EH domain binding protein 1		0.30745	0.839	0.231	14	10
WSCD1	23302	Q658N2	WSC domain containing 1		6.3576e-05	0.931	0.077	4	0
KIF13B	23303	Q9NQT8	kinesin family member 13B	Cellular structure	2.1366e-12	1.0	0.154	4	1
UBR2	23304	Q8IWV8	ubiquitin protein ligase E3 component n-recognin 2		1.0	0.821	0.154	7	3
ACSL6	23305	Q9UKU0	acyl-CoA synthetase long chain family member 6	Enzyme	0.0032201	0.686	0.5	30	1
NEMP1	23306	O14524	nuclear envelope integral membrane protein 1		0.91617	0.821	0.115	7	4
FKBP15	23307	Q5T1M5	FKBP prolyl isomerase 15		5.551e-12	0.821	0.115	15	1
ICOSLG	23308	O75144	inducible T cell costimulator ligand		0.00035482	0.601	0.654	69	8
SIN3B	23309	O75182	SIN3 transcription regulator family member B	Enzyme	0.99999	0.743	0.308	21	0
NCAPD3	23310	P42695	non-SMC condensin II complex subunit D3	Nucleic acid binding	5.821e-09	0.722	0.423	32	4
DMXL2	23312	Q8TDJ6	Dmx like 2		1.0	0.695	0.538	37	8
KIAA0930	23313	Q6ICG6	KIAA0930		6.9792e-05	1.0	0.038	3	3
SATB2	23314	Q9UPW6	SATB homeobox 2	Transcription factor	0.99999	0.503	0.769	233	38
SLC9A8	23315	Q9Y2E8	solute carrier family 9 member A8	Transporter	2.9146e-10	0.736	0.5	16	2
CUX2	23316	O14529	cut like homeobox 2	Transcription factor	1.0	0.644	0.5	87	21
